study_id,Accrued,Active Enrolling Date,Closed to Enrollment Date,Disease Site(S),national_sample,local_sample
79175390,,,,unknown,,0
76997811,1,,,neurology,0,8
20701043,,,,unknown,,0
97136858,7,,,oncology,0,0
98400541,0,,,oncology,0,24
27547914,,,,oncology,0,18
23533090,,,,oncology,0,0
12064465,6,,,oncology,0,0
57427734,,,,other,0,5
96666384,3,,,other,0,0
50782056,,,,unknown,,0
28959901,16,,,other,24,24
18329472,,,,oncology,0,5
80212207,,,,oncology,0,6
61549862,,,,other,0,10
51466174,,,,oncology,0,12
67266574,,,,other,0,6
44904467,3,,,oncology,0,18
57420623,50,,,other,0,50
32978136,65,,,other,0,0
32640359,,,,oncology,0,8
37473956,,,,oncology,0,6
61092774,,,,oncology,0,4
95913563,1,,,other,0,4
21676738,18,,,other,0,0
52449285,115,,,other,0,0
54977748,3,,,other,0,3
77210398,1,,,other,0,5
31630805,,,,other,0,4
53658731,4,,,other,0,0
36387080,0,,,other,0,6
67470740,0,,,other,0,3
42861833,0,,,other,0,13
40108556,20,,,oncology,25,0
26356262,,,,other,0,10
11045369,0,,,other,0,8
28927281,2,,,oncology,20,15
88149468,,,,other,0,0
78661107,3,,,other,0,6
69870586,,,,other,0,0
27363680,,,,other,0,10
77578608,20,,,other,10,26
78407061,1,,,other,0,0
17121785,2,,,other,8,4
32907411,5,,,oncology,10,3
46376235,3,,,other,0,0
71125812,,,,other,0,0
99190096,6,,,other,0,0
24035585,71,,,oncology,81,72
35407133,1,,,oncology,0,20
19246456,0,,,oncology,0,30
22569434,13,,,oncology,30,0
17515388,2,,,other,0,10
94053352,,,,other,0,0
71732883,,,,other,0,4
28427876,1,,,oncology,0,85
25625545,1,,,other,0,1
32646649,,,,other,0,2
19440617,1,,,oncology,0,10
51061960,13,,,oncology,0,20
48539090,,,,other,0,6
70075041,8,,,other,0,16
11249067,,,,oncology,0,3
18580744,,,,other,0,4
29606332,34,,,other,24,0
23651082,,,,other,0,75
92726837,,,,other,0,0
21627438,15,,,other,0,0
88908334,4,,,other,100,25
58746436,,,,other,0,10
36218223,22,,,other,0,0
73368248,4,,,other,0,0
76909617,,,,oncology,0,20
27878401,,,,other,0,0
23995950,,,,oncology,0,10
49398419,1,,,oncology,0,0
71951933,2,,,other,0,10
26558858,1,,,oncology,0,0
80070994,3,,,other,0,4
59548016,9,,,other,30,0
65840095,2,,,other,0,0
42525965,,,,other,0,0
60793418,,,,oncology,0,0
96544787,2,,,other,0,16
12755847,4,,,oncology,0,0
83854894,36,,,other,0,35
98880822,18,,,oncology,0,0
75132014,2,,,other,0,0
69468523,33,,,other,25,47
11157726,3,,,other,30,0
29003891,4,,,oncology,0,15
46974028,2,,,other,0,0
48260706,17,,,diabetes,0,20
30901342,1,,,other,0,120
75214239,16,,,oncology,0,0
24907248,73,,,other,0,500
59852642,5,,,other,0,110
54405169,1,,,other,0,3
82372337,,,,oncology,0,16
57583499,1,,,oncology,0,3
11445084,2,,,other,0,100
63122386,13,,,other,0,12
10029909,14,,,other,0,150
57564750,,,,unknown,,0
96512570,1,,,oncology,0,10
94678606,0,,,oncology,0,8
96765608,8,,,oncology,0,20
49381050,,,,unknown,,28
56535317,,,,oncology,0,8
15486292,,,,oncology,0,1
49210547,13,,,other,0,15
30001187,1,,,other,0,10
58363158,235,,,other,0,0
50692892,6,,,other,0,0
86304419,6,,,other,0,6
99755053,5,,,other,0,0
19575962,0,,,other,0,0
43376183,,,,unknown,,10
87080942,,,,unknown,,0
76752825,1,,,oncology,0,4
64026273,13,,,oncology,0,0
69186827,,,,other,0,8
66258590,70,,,other,0,0
60328072,,,,other,0,4
30155161,60,,,other,100,0
88007577,12,,,other,0,0
42657972,1,,,other,0,10
67306002,34,,,other,0,0
24322278,16,,,oncology,30,0
11694189,,,,oncology,0,16
94356439,1,,,other,0,0
40462643,1,,,other,0,50
21690684,0,,,other,0,4
79612412,,,,other,0,4
78415955,5,,,other,0,103
25325986,0,,,other,0,8
13628262,100,,,oncology,0,0
54675431,4,,,oncology,0,15
55967426,,,,unknown,,0
51732629,,,,other,250,250
71016247,,,,unknown,,0
52826905,,,,other,0,10
27289801,107,,,other,0,100
37056567,10,,,other,0,0
93925137,,,,oncology,0,12
51281972,555,,,other,700,0
96563794,,,,other,0,3
82214435,,,,unknown,,8
77674063,39,,,other,0,0
75628428,,,,unknown,,10
71838171,0,,,oncology,0,4
13909751,,,,unknown,,15
33613383,,,,oncology,0,0
87182976,,,,oncology,0,16
94440447,,,,other,0,400
65284919,,,,other,0,34
98576161,1,,,other,0,5
92144714,4,,,oncology,7,7
39627280,3,,,other,0,15
28507733,,,,unknown,,0
80562563,2,,,oncology,0,15
74878739,,,,other,0,4
51384241,1,,,other,0,4
61239612,,,,other,0,4
47616394,,,,other,0,3
81116815,,,,unknown,,5
82232030,0,,,other,0,10
77989358,5,,,oncology,0,12
23013774,172,,,other,0,1000
27009271,,,,other,0,0
42681640,1,,,other,0,10
44971029,,,,other,0,4
84813624,,,,other,0,5
14599536,248,,,oncology,0,500
59933642,1,,,other,0,0
57115959,,,,other,0,5
97821845,16,,,other,0,15
74452964,2,,,other,0,0
82813138,1,,,oncology,50,1
27929081,,,,other,0,5
75763029,,,,other,0,50
33450741,5,,,other,0,5
28811583,6,,,other,180,0
73132551,10,,,other,0,10
65374146,0,,,other,0,16
32788261,3,,,oncology,0,12
48045974,,,,unknown,,17
58024961,,,,unknown,,0
23462380,1,,,diabetes,100,0
55922230,1,,,other,0,15
42198919,12,,,other,0,200
77179291,5,,,other,0,15
21677787,,,,oncology,0,10
91987806,,,,unknown,,10
18968056,,,,other,0,0
49857929,80,,,other,0,215
22826186,2,,,other,0,60
81692313,,,,other,0,1
59765072,,,,other,0,0
27293345,2,,,oncology,0,0
47542107,2,,,other,0,10
75973166,25,,,other,0,0
15877308,,,,oncology,30,30
91204049,46,,,other,0,100
69102415,,,,other,0,500
98509953,4,,,other,0,0
87721125,2,,,other,0,0
41824852,,,,other,0,30
42902918,,,,other,0,0
80774269,,,,other,0,0
91033459,1,,,other,0,1
50892843,1,,,other,0,1
30386362,2,,,oncology,0,10
66783156,5,,,oncology,0,18
78590248,,,,other,0,15
16703751,,,,other,0,0
17154709,20,,,oncology,0,0
92695929,14,,,other,0,14
21732929,,,,unknown,,0
31713061,,,,oncology,0,0
30737072,,,,other,0,0
15681144,,,,other,0,50
72601092,1,,,oncology,0,1
82342189,,,,other,0,1
85577899,,,,oncology,0,1
69830954,1,,,oncology,0,1
57151887,,,,other,0,1
19711867,1,,,oncology,0,1
40574906,,,,unknown,,10
79568428,,,,unknown,,30
66821797,,,,unknown,,10
59645950,,,,unknown,,2
70357451,10,,,other,0,10
86651300,167,,,other,0,1000
49640313,,,,other,0,0
58443660,1,,,oncology,0,6
12608927,3,,,other,0,25
35070457,2,,,oncology,10,5
87624000,,,,other,0,20
54906784,124,,,other,250,0
43884366,,,,unknown,,0
20252328,0,,,other,0,10
64455466,,,,other,0,0
20162120,,,,other,0,10
12052055,,,,other,0,10
97264962,5,,,other,0,0
22261094,0,,,oncology,0,6
83623880,,,,unknown,,12
68533907,,,,unknown,,5
72985970,,,,other,0,50
37350069,,,,other,0,40
62128802,11,,,oncology,30,20
45797037,,,,oncology,0,16
87228750,13,,,oncology,11,0
24880618,,,,other,0,0
11167943,,,,other,0,75
61203898,,,,other,0,3
62653177,2,,,other,0,0
71529038,42,,,other,0,0
55598978,,,,unknown,,1
88326175,1,,,other,0,97
51922480,24,,,other,0,75
60113293,,,,other,0,0
40551210,,,,other,0,0
39986897,29,,,other,0,500
31270804,1,,,oncology,0,48
43616090,7,,,other,0,10
88633270,437,,,other,0,0
77428894,6,,,other,0,1165
28801106,0,,,other,0,0
17119315,1,,,other,0,0
82907291,1,,,other,0,1
46355146,,,,other,0,4
98656919,4,,,oncology,5,0
60427831,3,,,oncology,0,10
84321081,15,,,other,0,0
84983917,7,,,oncology,10,0
16917872,,,,oncology,0,10
46735754,1,,,other,8,0
73089224,2,,,oncology,10,10
62881991,3,,,oncology,6,10
84844622,3,,,oncology,5,0
30457584,,,,unknown,,15
25822810,,,,other,0,0
15089794,,,,other,220,0
96722674,,,,unknown,,0
50086496,,,,other,10,0
83321072,,,,other,15,0
47931506,,,,other,0,160
29213021,,,,other,15,0
34286942,0,,,other,0,5
56562640,,,,other,0,0
20932828,1,,,other,0,8
37561578,,,,other,0,300
18312818,28,,,other,0,200
50439870,,,,oncology,0,5
13036763,,,,other,0,1
18894697,,,,other,0,1
69751277,25,,,other,0,20
62492911,1,,,other,0,8
15837542,31,,,other,0,67
13077292,,,,other,0,10
79676357,,,,other,0,0
18614345,6,,,other,0,10
92005315,53,,,other,0,0
74089220,29,,,other,0,0
89358842,5,,,oncology,30,0
25985066,7,,,other,150,150
86869080,6,,,other,0,0
33006732,9,,,other,0,6
89941153,4,,,other,0,25
81110166,9,,,other,0,0
20432766,,,,other,0,40
18230197,,,,respiratory,0,6
50258245,116,,,other,240,0
46277366,,,,oncology,0,0
89532732,3,,,other,0,10
31879896,,,,other,0,5
21031563,7,,,oncology,0,20
65465273,,,,other,0,30
40342299,1,,,other,0,0
50422724,9,,,oncology,30,0
44457890,,,,unknown,,12
55804652,30,,,other,0,0
67072281,1,,,other,0,10
38213281,0,,,other,0,0
76547136,0,,,oncology,0,0
38234665,5,,,oncology,0,4
45727439,,,,unknown,,12
56297621,33,,,other,0,140
72048082,,,,unknown,,10
46605884,4,,,oncology,0,10
27167098,,,,other,0,10
23628475,6,,,other,0,25
13198874,1,,,other,0,500
17806715,,,,other,0,100
14245641,,,,unknown,,40
38027007,,,,unknown,,5
56487040,1,,,oncology,0,3
13731170,,,,other,0,0
64963682,,,,other,0,0
74236520,2,,,other,240,0
68913628,0,,,oncology,0,5
73933731,,,,other,0,0
16074189,1,,,other,0,6
18221832,,,,other,0,10
54131572,11,,,other,0,30
88711850,,,,other,0,0
69256035,,,,other,0,0
65232340,,,,unknown,,10
35463559,,,,other,476,0
56967440,4,,,other,15,0
39937145,2,,,other,0,0
18071301,,,,unknown,,0
84778823,,,,unknown,,10
61537996,,,,unknown,,10
40953074,0,,,other,0,0
79727355,4,,,other,0,10
29712274,,,,unknown,,10
21364256,,,,unknown,,10
97941336,2,,,oncology,0,0
34695745,,,,other,0,40
15652366,0,,,other,0,0
90384302,11,,,other,0,25
43680996,74,,,other,0,0
61450577,,,,other,0,20
56625764,1,,,other,0,3
92687549,2,,,other,0,40
93544592,6,,,other,150,0
44646858,5,,,oncology,5,0
83789954,6,,,oncology,0,10
51811617,4,,,other,0,0
55804018,11,,,other,0,0
36266523,2,,,other,4,0
93126188,,,,unknown,,10
22544159,,,,unknown,,10
48356829,,,,unknown,,10
66543199,,,,unknown,,0
38951494,1,,,other,0,3
73002007,1,,,oncology,0,6
16893587,4,,,other,0,10
17902174,7,,,other,0,30
80464382,,,,other,0,25
98645966,3,,,other,0,0
72590690,20,,,oncology,0,0
70860683,,,,unknown,,10
13868929,,,,unknown,,4
11095568,0,,,other,0,5
74481111,,,,unknown,,2
76936170,1,,,other,0,2
32743372,,,,unknown,,12
69760489,0,,,oncology,0,0
97992939,,,,other,0,0
31924648,12,,,other,120,40
77212705,4,,,other,0,10
89771755,,,,other,0,8
81497874,,,,other,0,8
16982049,65,,,other,100,115
79888690,5,,,other,0,0
64225483,5,,,other,30,0
87393210,2,,,other,0,5
83780706,,,,other,0,0
65708577,,,,other,8,0
65241635,1,,,other,2,0
31656223,,,,other,0,20
90885818,14,,,other,0,0
72360880,2,,,other,0,0
22537324,,,,other,0,0
84478237,,,,other,0,15
27312470,1,,,other,20,0
83945854,26,,,other,0,50
24940977,,,,other,0,15
73326289,,,,unknown,,0
97495699,2,,,other,0,10
54613900,,,,other,0,0
66101894,,,,other,0,0
17219833,30,,,other,56,0
18065186,1,,,other,0,10
72786278,,,,other,0,0
22203485,,,,other,0,1
89587170,,,,unknown,,2
13377820,,,,other,20,20
74580748,,,,other,0,0
11142564,26,,,other,0,100
87883467,,,,unknown,,10
58016882,2,,,other,0,10
66448071,1,,,oncology,0,4
11496178,3,,,oncology,0,0
67527520,,,,other,0,40
40332055,,,,other,0,600
61990158,2,,,oncology,5,0
80545857,,,,oncology,0,5
13938999,,,,other,0,100
48975327,,,,other,0,0
86758626,,,,other,0,90
82718137,,,,other,0,10
82012858,,,,oncology,0,1
98633720,30,,,other,0,50
13250176,17,,,other,0,0
51300255,7,,,oncology,0,10
60154883,,,,oncology,0,0
82181616,,,,unknown,,10
48958500,6,,,other,0,10
22471598,1,,,other,0,0
42754544,10,,,other,15,0
82272733,10,,,other,15,0
69191503,,,,other,0,10
76038417,20,,,other,100,0
64540674,,,,other,0,5
56910049,,,,other,30,0
73855721,,,,other,0,50
43066447,,,,other,0,5
20366442,1,,,other,0,0
88647673,,,,other,0,6
74135208,2,,,oncology,0,0
