study_id,investigator_experience,reviewer_concern_recruitment,target_enrollment
STUDY-3518,9,low,9
STUDY-3594,810,low,810
STUDY-2926,365,low,365
STUDY-8892,3999,high,3999
STUDY-3046,375,high,375
STUDY-4988,163,low,163
STUDY-5355,83,low,83
STUDY-4501,95,low,95
STUDY-5045,625,high,625
STUDY-3736,654,low,654
STUDY-2748,6911,high,6911
STUDY-2763,44761,low,44761
STUDY-10477,517,low,517
STUDY-4555,35,low,35
STUDY-2788,247,low,247
STUDY-3966,1928,high,1928
STUDY-3969,127,high,127
STUDY-3048,906,low,906
STUDY-4898,1309,high,1309
STUDY-8960,1300,low,1300
STUDY-3102,1099,high,1099
STUDY-3182,1565,low,1565
STUDY-3448,799,low,799
STUDY-8311,547,low,547
STUDY-3967,60,low,60
STUDY-3206,875,high,875
STUDY-3485,1483,low,1483
STUDY-3324,49,low,49
STUDY-3288,83,low,83
STUDY-5410,2803,high,2803
STUDY-4971,40,low,40
STUDY-5011,239,low,239
STUDY-5400,97,high,97
STUDY-5239,1136,low,1136
STUDY-4276,22,low,22
STUDY-4362,170,low,170
STUDY-5685,2000,low,2000
STUDY-4363,21,low,21
STUDY-5871,208,low,208
STUDY-5277,78,low,78
STUDY-5073,3253,low,3253
STUDY-4233,12,low,12
STUDY-4012,31,high,31
STUDY-4022,525,high,525
STUDY-5304,4000,high,4000
STUDY-3900,12304,high,12304
STUDY-4457,15,high,15
STUDY-4096,200,low,200
STUDY-5081,275,low,275
STUDY-4690,290,low,290
STUDY-4967,141,low,141
STUDY-4648,693,high,693
STUDY-4925,39,low,39
STUDY-5554,100,low,100
STUDY-4453,9988,low,9988
STUDY-4351,425,low,425
STUDY-4767,20,low,20
STUDY-4569,1642,low,1642
STUDY-4695,420,high,420
STUDY-6683,64,low,64
STUDY-4874,86,low,86
STUDY-5876,2163,high,2163
STUDY-5960,459,high,459
STUDY-5041,13886,low,13886
STUDY-6684,192,low,192
STUDY-5403,300,high,300
STUDY-5684,2649,low,2649
STUDY-5783,3835,high,3835
STUDY-5728,362,low,362
STUDY-6397,2,low,2
STUDY-6258,1051,low,1051
STUDY-8464,1580,high,1580
STUDY-5151,500,low,500
STUDY-8465,4133,low,4133
STUDY-5372,18,low,18
STUDY-5373,367,high,367
STUDY-5527,737,low,737
STUDY-6061,164,high,164
STUDY-5485,240,low,240
STUDY-5450,711,high,711
STUDY-5710,500,high,500
STUDY-6142,1044,low,1044
STUDY-6127,158,low,158
STUDY-6781,311,low,311
STUDY-6045,468,high,468
STUDY-5949,70,low,70
STUDY-5796,126,low,126
STUDY-6343,30,low,30
STUDY-6046,5072,high,5072
STUDY-6717,124,low,124
STUDY-9236,39,low,39
STUDY-8734,91,high,91
STUDY-6716,86,low,86
STUDY-6494,3356,low,3356
STUDY-6334,5,low,5
STUDY-7786,1656,low,1656
STUDY-8800,22,high,22
STUDY-8256,23,low,23
STUDY-8270,79,low,79
STUDY-7061,1399,low,1399
STUDY-8905,2869,low,2869
STUDY-9981,593,low,593
STUDY-10383,417,high,417
STUDY-8934,17,low,17
STUDY-8862,30,low,30
STUDY-9049,22,low,22
STUDY-8358,1848,low,1848
STUDY-8889,7,low,7
STUDY-9208,200,low,200
STUDY-10304,1091,high,1091
STUDY-9101,3999,low,3999
STUDY-8961,203,low,203
STUDY-9369,30,high,30
STUDY-9831,400,low,400
STUDY-9808,20,high,20
STUDY-9707,50,high,50
STUDY-9604,1010,high,1010
STUDY-11056,1100,low,1100
STUDY-9534,266,low,266
STUDY-11016,46,low,46
STUDY-10366,184,low,184
STUDY-10450,257,low,257
STUDY-10446,80,high,80
STUDY-10303,1091,high,1091
STUDY-10887,129,high,129
STUDY-10300,769,high,769
STUDY-9785,81,low,81
STUDY-10744,179,high,179
STUDY-11110,354,low,354
STUDY-11311,120,high,120
