study_id,patients_contacted,participants_interested,recruitment_start_date,recruitment_end_date,interest_rate
21935093,1747,1281,2023-05-10,2026-12-24,0.733
60996252,589,194,2024-10-03,2026-04-24,0.329
80728949,3086,1063,2021-08-10,2026-04-01,0.344
57408623,81,9,2026-03-10,2026-03-27,0.111
80964908,433,157,2025-07-24,2026-03-20,0.363
72169615,415,60,2025-06-17,2026-03-17,0.145
55753514,66,30,2025-07-29,2026-02-11,0.455
84421462,38,20,2022-05-16,2026-01-09,0.526
30784249,10,4,2025-12-03,2025-12-17,0.4
57432084,89,33,2024-01-05,2025-12-10,0.371
99548040,2,1,2025-10-21,2025-10-21,0.5
86907867,9,0,2025-10-06,2025-10-16,0.0
83163676,210,56,2024-12-19,2025-09-09,0.267
37813086,13,4,2025-06-27,2025-07-22,0.308
68802690,15,7,2025-06-18,2025-07-18,0.467
14752632,77,24,2025-04-28,2025-07-11,0.312
24787855,208,51,2025-04-14,2025-07-01,0.245
38386472,21,17,2025-06-10,2025-06-18,0.81
11475265,4,1,2025-05-06,2025-06-10,0.25
18038995,113,80,2021-01-29,2025-05-15,0.708
56242559,771,248,2021-01-16,2025-02-22,0.322
11500108,4,0,2024-12-05,2024-12-05,0.0
75856161,150,78,2024-04-17,2024-10-24,0.52
59169360,9,2,2024-10-23,2024-10-24,0.222
24934069,122,49,2023-07-24,2024-09-16,0.402
32545459,3,1,2024-09-03,2024-09-03,0.333
70047343,39,22,2024-05-02,2024-08-01,0.564
91216356,29,7,2024-06-25,2024-06-27,0.241
66806902,28,13,2021-11-17,2024-05-21,0.464
54996666,89,28,2024-01-26,2024-05-20,0.315
28449021,70,39,2023-09-07,2024-05-02,0.557
23665056,72,36,2024-01-17,2024-04-24,0.5
64034573,49,10,2023-06-21,2024-04-08,0.204
65892696,147,62,2022-05-31,2024-03-26,0.422
23539642,308,116,2019-09-28,2024-03-19,0.377
41408305,1,0,2024-02-08,2024-02-08,0.0
96253972,321,129,2023-05-30,2024-01-31,0.402
40397253,57,2,2024-01-09,2024-01-12,0.035
88225435,26,2,2024-01-05,2024-01-10,0.077
60732848,122,63,2022-09-08,2024-01-08,0.516
48829592,249,33,2023-09-21,2023-12-11,0.133
44709074,14,8,2023-09-22,2023-11-16,0.571
77051384,9,3,2023-07-27,2023-10-16,0.333
83211877,81,43,2023-04-03,2023-10-03,0.531
56791265,370,213,2021-09-22,2023-09-08,0.576
44831341,47,15,2021-02-17,2023-05-30,0.319
90575466,16,3,2021-06-10,2023-05-24,0.188
99210092,180,30,2022-10-26,2023-05-15,0.167
56276637,58,42,2023-03-24,2023-04-17,0.724
80556796,7,3,2023-02-09,2023-04-05,0.429
62418955,490,133,2021-11-30,2023-03-24,0.271
15192147,171,54,2022-04-26,2023-02-17,0.316
16790379,404,70,2022-06-17,2023-02-06,0.173
22984448,5,1,2023-01-03,2023-01-06,0.2
81548769,36,11,2022-09-07,2022-11-21,0.306
63427998,153,8,2022-04-04,2022-11-17,0.052
19371377,153,49,2022-06-08,2022-10-12,0.32
36763137,60,18,2022-08-17,2022-10-06,0.3
76985606,28,28,2022-08-30,2022-10-03,1.0
97087610,35,1,2021-12-30,2022-09-20,0.029
41759990,193,64,2022-04-11,2022-08-30,0.332
15439453,2,0,2022-08-19,2022-08-19,0.0
91633150,4,0,2022-08-16,2022-08-16,0.0
67245065,5,2,2022-05-17,2022-08-11,0.4
73519510,469,20,2021-10-18,2022-07-19,0.043
24756438,83,44,2022-03-01,2022-07-11,0.53
68719276,53,39,2022-04-26,2022-05-05,0.736
87970112,9,2,2022-04-27,2022-04-27,0.222
34960055,418,178,2020-10-28,2022-03-02,0.426
47297775,17,2,2021-11-15,2022-02-24,0.118
50492341,15,0,2022-01-27,2022-02-14,0.0
85398906,3,1,2021-12-15,2021-12-16,0.333
14882001,64,1,2021-10-25,2021-11-17,0.016
99896183,290,79,2021-07-15,2021-11-01,0.272
24695266,12,3,2021-06-25,2021-09-22,0.25
83783346,13,1,2021-05-18,2021-07-12,0.077
25015059,24,11,2021-05-02,2021-06-30,0.458
72280856,13,3,2021-06-29,2021-06-29,0.231
56816359,145,47,2021-03-01,2021-06-25,0.324
69136447,16,4,2021-06-09,2021-06-09,0.25
71160366,234,44,2021-02-02,2021-05-13,0.188
51325801,21,10,2021-02-20,2021-04-02,0.476
48083349,7,6,2021-03-16,2021-03-25,0.857
23425736,10,5,2021-03-16,2021-03-22,0.5
76206399,79,34,2020-10-28,2021-03-17,0.43
34082227,24,8,2021-02-16,2021-02-19,0.333
33870283,4,2,2021-02-16,2021-02-16,0.5
84685258,501,443,2018-04-05,2021-01-21,0.884
71381386,1,0,2021-01-14,2021-01-14,0.0
88306352,216,30,2020-12-01,2020-12-16,0.139
24907248,116,83,2019-03-27,2020-11-30,0.716
28242234,7,6,2020-09-30,2020-10-20,0.857
46943762,18,3,2020-07-13,2020-09-24,0.167
19885660,4,4,2020-09-23,2020-09-24,1.0
11422946,35,25,2017-01-11,2020-08-28,0.714
53064142,3,3,2020-08-21,2020-08-21,1.0
80547576,293,127,2020-01-15,2020-08-20,0.433
49778544,19,10,2020-07-07,2020-08-04,0.526
74747512,79,52,2019-07-12,2020-07-22,0.658
33075192,12,5,2020-01-06,2020-01-06,0.417
41266929,28,17,2019-07-16,2019-08-06,0.607
74746453,152,22,2019-07-01,2019-07-19,0.145
58363158,7,3,2019-04-08,2019-05-03,0.429
80920780,0,0,,,0.0
98201443,0,0,,,0.0
65671021,0,0,,,0.0
90583008,0,0,,,0.0
16248838,0,0,,,0.0
17363275,0,0,,,0.0
