study_id,study_title,study_type,principal_investigator,study_start_year
STUDY-3518,Consent to Contact - 20070307 - Pericak Vance,observational,Pericak-Vance,2022
STUDY-3594,Consent to Contact - 20070380 - Vance,observational,Vance,2022
STUDY-2926,Consent to Contact - 20070492 - Wang,observational,Wang,2022
STUDY-8892,Consent to Contact - 20150678 - Heller,interventional,Heller,2022
STUDY-3046,Consent to Contact - 20150929 - McIntosh,observational,Unknown,2020
STUDY-4988,Consent to Contact - 20160316 - Rosa-Cunha,interventional,Rosa-Cunha,2022
STUDY-5355,Consent to Contact - 20160640 - Abdulreda,interventional,Abdulreda,2022
STUDY-4501,Consent to Contact - 20160736 - Kim,observational,Kim,2022
STUDY-5045,Consent to Contact - 20160776 - Timpano,observational,Timpano,2022
STUDY-3736,Consent to Contact - 20170656 - Penedo,interventional,Penedo,2022
STUDY-2748,Consent to Contact - 20170766 - Cabrera DeBuc,observational,DeBuc,2022
STUDY-2763,Consent to Contact - 20170825 - All of Us,observational,Zuchner,2022
STUDY-10477,Consent to Contact - 20170825 - All of Us v2,observational,Zuchner,2022
STUDY-4555,Consent to Contact - 20180013 - Coffey,observational,Coffey,2022
STUDY-2788,Consent to Contact - 20180165 - Nichols,observational,Unknown,2020
STUDY-3966,Consent to Contact - 20180256 - Tomic-Canic,interventional,Tomic Canic,2022
STUDY-3969,Consent to Contact - 20180468 - Lev-Tov,observational,Lev-Tov,2022
STUDY-3048,Consent to Contact - 20180631 - McIntosh,observational,McIntosh,2022
STUDY-4898,Consent to Contact - 20180774 - Perry,observational,Perry,2022
STUDY-8960,Consent to Contact - 20180816 - Jimenez,observational,Jimenez,2022
STUDY-3102,Consent to Contact - 20180908 - Benatar,observational,Benatar,2022
STUDY-3182,Consent to Contact - 20180926 - Gomes Osman,observational,Unknown,2020
STUDY-3448,Consent to Contact - 20181208 - Solle,observational,Unknown,2020
STUDY-8311,Consent to Contact - 20190034 - Hoffer,observational,Hoffer,2022
STUDY-3967,Consent to Contact - 20190044 - Kirsner,observational,Unknown,2020
STUDY-3206,Consent to Contact - 20190328 - Asfar,interventional,Asfar,2022
STUDY-3485,Consent to Contact - 20190425 - Ramos,observational,Ramos,2022
STUDY-3324,Consent to Contact - 20190488 - Nichols,observational,Nichols,2022
STUDY-3288,Consent to Contact - 20190564 - Maderal,observational,Unknown,2020
STUDY-5410,Consent to Contact - 20190574 - Timpano,observational,Timpano,2022
STUDY-4971,Consent to Contact - 20190702 - Jagid,observational,Jagid,2022
STUDY-5011,Consent to Contact - 20190762 - Penedo,interventional,Penedo,2022
STUDY-5400,Consent to Contact - 20190846 - Penedo,observational,Penedo,2022
STUDY-5239,Consent to Contact - 20191101 - Wang,observational,Wang,2022
STUDY-4276,Consent to Contact - 20200014 - Kirsner,observational,Kirsner,2022
STUDY-4362,Consent to Contact - 20200026 - Kirsner,observational,Unknown,2020
STUDY-5685,Consent to Contact - 20200027 - Monteith,observational,Monteith,2022
STUDY-4363,Consent to Contact - 20200057 - Kirsner,observational,Unknown,2020
STUDY-5871,Consent to Contact - 20200127 - St. George,observational,StGeorge,2022
STUDY-5277,Consent to Contact - 20200199 - Galvin,interventional,Galvin,2022
STUDY-5073,Consent to Contact - 20200230 - Vidot,observational,Vidot,2022
STUDY-4233,Consent to Contact - 20200267 - Nichols,observational,Unknown,2020
STUDY-4012,Consent to Contact - 20200272 - Yosipovitch,observational,Unknown,2020
STUDY-4022,Consent to Contact - 20200284 - Nichols,observational,Nichols,2022
STUDY-5304,Consent to Contact - 20200286 - Vidot,observational,Vidot,2022
STUDY-3900,Consent to Contact - 20200450 - Penedo,observational,Penedo,2022
STUDY-4457,Consent to Contact - 20200454 - Nichols,interventional,Yosipovitch,2022
STUDY-4096,Consent to Contact - 20200472 - Kolber,observational,Unknown,2020
STUDY-5081,Consent to Contact - 20200566 - Hare,interventional,Hare,2022
STUDY-4690,Consent to Contact - 20200743 - Carrasquillo,observational,Carrasquillo,2022
STUDY-4967,Consent to Contact - 20200854 - Penedo,interventional,Penedo,2022
STUDY-4648,Consent to Contact - 20200857 - Yosipovitch,interventional,Yosipovitch,2022
STUDY-4925,Consent to Contact - 20200908 - Nichols,observational,Nichols,2022
STUDY-5554,Consent to Contact - 20200966 - Alejandro,interventional,Ricordi,2022
STUDY-4453,Consent to Contact - 20200968 - Jayaweera,observational,Unknown,2020
STUDY-4351,Consent to Contact - 20200973 - Penedo,observational,Penedo,2022
STUDY-4767,Consent to Contact - 20201003 - Downs,observational,Unknown,2020
STUDY-4569,Consent to Contact - 20201026 - Pawha,observational,Pahwa,2022
STUDY-4695,Consent to Contact - 20201067 - Kim,observational,Kim,2022
STUDY-6683,Consent to Contact - 20201151 - Goldberger,observational,Goldberger,2022
STUDY-4874,Consent to Contact - 20201225 - Fein,observational,Fein,2022
STUDY-5876,Consent to Contact - 20201420 - Penedo,observational,Penedo,2022
STUDY-5960,Consent to Contact - 20201421 - St. George,observational,StGeorge,2022
STUDY-5041,Consent to Contact - 20201447 - Penedo,observational,Penedo,2022
